2024/04/09 10:52:03 [error] 21516#21384: *45842 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-cron.php?doing_wp_cron=1712656323.2266359329223632812500 HTTP/1.0", upstream: "fastcgi://127.0.0.1:10015", host: "les-mangas-du-bled.local"
2024/04/09 15:32:57 [error] 21516#21384: *82003 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/?_fields=description%2Cgmt_offset%2Chome%2Cname%2Csite_icon%2Csite_icon_url%2Csite_logo%2Ctimezone_string%2Curl&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10014", host: "les-mangas-du-bled.local", referrer: "http://les-mangas-du-bled.local/wp-admin/post.php?post=93&action=edit"
2024/04/09 15:32:57 [error] 21516#21384: *82007 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/categories?context=view&per_page=100&orderby=name&order=asc&_fields=id%2Cname%2Cparent&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10014", host: "les-mangas-du-bled.local", referrer: "http://les-mangas-du-bled.local/wp-admin/post.php?post=93&action=edit"
2024/04/09 15:32:57 [error] 21516#21384: *82011 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/tags?context=view&per_page=100&_fields=id%2Cname&include=23&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10014", host: "les-mangas-du-bled.local", referrer: "http://les-mangas-du-bled.local/wp-admin/post.php?post=93&action=edit"
2024/04/09 15:32:57 [error] 21516#21384: *82015 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-cron.php?doing_wp_cron=1712673177.0692729949951171875000 HTTP/1.0", upstream: "fastcgi://127.0.0.1:10014", host: "les-mangas-du-bled.local"
2024/04/09 15:32:57 [error] 21516#21384: *82003 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/?_fields=description%2Cgmt_offset%2Chome%2Cname%2Csite_icon%2Csite_icon_url%2Csite_logo%2Ctimezone_string%2Curl&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10015", host: "les-mangas-du-bled.local", referrer: "http://les-mangas-du-bled.local/wp-admin/post.php?post=93&action=edit"
2024/04/09 15:32:57 [error] 21516#21384: *82007 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/categories?context=view&per_page=100&orderby=name&order=asc&_fields=id%2Cname%2Cparent&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10015", host: "les-mangas-du-bled.local", referrer: "http://les-mangas-du-bled.local/wp-admin/post.php?post=93&action=edit"
2024/04/09 15:32:57 [error] 21516#21384: *82020 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/edit.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10015", host: "les-mangas-du-bled.local", referrer: "http://les-mangas-du-bled.local/wp-admin/post.php?post=565&action=edit"
2024/04/09 15:32:57 [error] 21516#21384: *82020 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/edit.php HTTP/1.0", upstream: "fastcgi://php", host: "les-mangas-du-bled.local", referrer: "http://les-mangas-du-bled.local/wp-admin/post.php?post=565&action=edit"
2024/04/09 15:32:57 [error] 21516#21384: *82024 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/media/95?context=view&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10015", host: "les-mangas-du-bled.local", referrer: "http://les-mangas-du-bled.local/wp-admin/post.php?post=93&action=edit"
2024/04/09 15:32:57 [error] 21516#21384: *82024 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/media/95?context=view&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "les-mangas-du-bled.local", referrer: "http://les-mangas-du-bled.local/wp-admin/post.php?post=93&action=edit"
